072999	EXTRACCION DE OTROS MINERALES METALIFEROS NO FERROSOS N.C.P. (EXCEPTO ZINC, PLOMO Y MANGANESO)
081000	EXTRACCION DE PIEDRA, ARENA Y ARCILLA
089110	EXTRACCION Y PROCESAMIENTO DE LITIO
089190	EXTRACCION DE MINERALES PARA LA FABRICACION DE ABONOS Y PRODUCTOS QUIMICOS N.C.P.
089200	EXTRACCION DE TURBA
089300	EXTRACCION DE SAL
089900	EXPLOTACION DE OTRAS MINAS Y CANTERAS N.C.P.
091001	ACTIVIDADES DE APOYO PARA LA EXTRACCION DE PETROLEO Y GAS NATURAL PRESTADOS POR EMPRESAS
091002	ACTIVIDADES DE APOYO PARA LA EXTRACCION DE PETROLEO Y GAS NATURAL PRESTADOS POR PROFESIONALES
099001	ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR EMPRESAS
099002	ACTIVIDADES DE APOYO PARA LA EXPLOTACION DE OTRAS MINAS Y CANTERAS PRESTADOS POR PROFESIONALES
101011	EXPLOTACION DE MATADEROS DE BOVINOS, OVINOS, EQUINOS, CAPRINOS, PORCINOS Y CAMELIDOS
101019	EXPLOTACION DE MATADEROS DE AVES Y DE OTROS TIPOS DE ANIMALES N.C.P.
101020	ELABORACION Y CONSERVACION DE CARNE Y PRODUCTOS CARNICOS
102010	PRODUCCION DE HARINA DE PESCADO
102020	ELABORACION Y CONSERVACION DE SALMONIDOS
102030	ELABORACION Y CONSERVACION DE OTROS PESCADOS, EN PLANTAS EN TIERRA (EXCEPTO BARCOS FACTORIA)
102040	ELABORACION Y CONSERVACION DE CRUSTACEOS, MOLUSCOS Y OTROS PRODUCTOS ACUATICOS, EN PLANTAS EN TIERRA
102050	ACTIVIDADES DE ELABORACION Y CONSERVACION DE PESCADO, REALIZADAS EN BARCOS FACTORIA
102060	ELABORACION Y PROCESAMIENTO DE ALGAS
103000	ELABORACION Y CONSERVACION DE FRUTAS, LEGUMBRES Y HORTALIZAS
104000	ELABORACION DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL (EXCEPTO ELABORACION DE MANTEQUILLA)
105000	ELABORACION DE PRODUCTOS LACTEOS
106101	MOLIENDA DE TRIGO: PRODUCCION DE HARINA, SEMOLA Y GRANULOS
106102	MOLIENDA DE ARROZ, PRODUCCION DE HARINA DE ARROZ
106109	ELABORACION DE OTROS PRODUCTOS DE MOLINERIA N.C.P.
106200	ELABORACION DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON
107100	ELABORACION DE PRODUCTOS DE PANADERIA Y PASTELERIA
107200	ELABORACION DE AZUCAR
107300	ELABORACION DE CACAO, CHOCOLATE Y DE PRODUCTOS DE CONFITERIA
107400	ELABORACION DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINACEOS SIMILARES
107500	ELABORACION DE COMIDAS Y PLATOS PREPARADOS ENVASADOS, ROTULADOS Y CON INFORMACION NUTRICIONAL
107901	ELABORACION DE TE, CAFE, MATE E INFUSIONES DE HIERBAS
107902	ELABORACION DE LEVADURAS NATURALES O ARTIFICIALES
107903	ELABORACION DE VINAGRES, MOSTAZAS, MAYONESAS Y CONDIMENTOS EN GENERAL
107909	ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.
108000	ELABORACION DE PIENSOS PREPARADOS PARA ANIMALES
110110	ELABORACION DE PISCO (INDUSTRIAS PISQUERAS)
110120	DESTILACION, RECTIFICACION Y MEZCLAS DE BEBIDAS ALCOHOLICAS, EXCEPTO PISCO
110200	ELABORACION DE VINOS
110300	ELABORACION DE BEBIDAS MALTEADAS Y DE MALTA
110401	ELABORACION DE BEBIDAS NO ALCOHOLICAS
110402	PRODUCCION DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS
120001	ELABORACION DE CIGARROS Y CIGARRILLOS
120009	ELABORACION DE OTROS PRODUCTOS DE TABACO N.C.P.
131100	PREPARACION E HILATURA DE FIBRAS TEXTILES
131200	TEJEDURA DE PRODUCTOS TEXTILES
131300	ACABADO DE PRODUCTOS TEXTILES
139100	FABRICACION DE TEJIDOS DE PUNTO Y GANCHILLO
139200	FABRICACION DE ARTICULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR
139300	FABRICACION DE TAPICES Y ALFOMBRAS
139400	FABRICACION DE CUERDAS, CORDELES, BRAMANTES Y REDES
